rank,title,points,countries,total/country,days,total/day,total,year,imdb,show_id,type,director_y,country_y,rating,duration,listed_in,description_y
1,365 Days,42329,79,536,259,163,42329,2020,3.5,s2413,Movie,"Barbara Białowąs, Tomasz Mandes",Poland,Adults,114 min,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him."
2,Enola Holmes,16432,78,211,45,365,16432,2020,6.6,s1960,Movie,Harry Bradbeer,United Kingdom,Teens,124 min,"Action & Adventure, Children & Family Movies, Dramas","While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
3,The Christmas Chronicles: Part Two,15916,80,199,36,442,15916,2020,6.0,s1652,Movie,Chris Columbus,Canada,Older Kids,115 min,"Children & Family Movies, Comedies","Unhappy over her mom’s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas."
4,Holidate,14849,80,186,64,232,14849,2020,6.3,s1786,Movie,John Whitesell,United States,Adults,105 min,"Comedies, Romantic Movies","Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way."
5,The Old Guard,13918,75,186,133,105,13918,2020,6.6,s2251,Movie,Gina Prince-Bythewood,United States,Adults,126 min,Action & Adventure,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.
6,The Social Dilemma,13583,77,176,73,186,13583,2020,7.5,s2036,Movie,Jeff Orlowski,United States,Teens,94 min,Documentaries,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations."
7,Project Power,13003,78,167,102,127,13003,2020,6.1,s2133,Movie,"Henry Joost, Ariel Schulman",United States,Adults,113 min,Action & Adventure,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers."
8,The SpongeBob Movie: Sponge on the Run,12855,78,165,56,230,12855,2020,6.4,,,Tim Hill,United States,,,,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home."
9,The Kissing Booth 2,12760,75,170,43,297,12760,2020,5.8,s2214,Movie,Vince Marcello,"United Kingdom, United States",Teens,133 min,"Comedies, Romantic Movies","With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate."
10,Extraction,12036,58,208,145,83,12036,2020,6.7,s142,Movie,Steven C. Miller,"United States, United Kingdom, Canada",Adults,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
11,Hubie Halloween,10564,78,135,36,293,10564,2020,5.4,s1880,Movie,Steve Brill,United States,Teens,104 min,"Comedies, Horror Movies","Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe."
12,Over the Moon,8741,77,114,37,236,8741,2020,6.5,s1802,Movie,Glen Keane,"China, United States",Older Kids,100 min,"Children & Family Movies, Music & Musicals","Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess."
13,A California Christmas,8530,79,108,17,502,8530,2020,6.0,s1551,Movie,Shaun Paul Piccinino,United States,Teens,107 min,"Comedies, Romantic Movies","With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas."
14,The Devil All the Time,8240,78,106,29,284,8240,2020,7.1,,,"Antonio Campos, Matthew McLoota",United States,,,,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family."
15,Work It,8157,75,109,27,302,8157,2020,6.1,s2160,Movie,Laura Terruso,United States,Teens,94 min,Comedies,A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.
16,"Love, Guaranteed",7682,78,98,32,240,7682,2020,5.5,s2053,Movie,Mark Steven Johnson,United States,Older Kids,91 min,"Comedies, Independent Movies, Romantic Movies",Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.
17,American Murder: The Family Next Door,7667,76,101,26,295,7667,2020,7.4,s1927,Movie,Jenny Popplewell,United States,Adults,84 min,Documentaries,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed."
18,Feel the Beat,7557,71,106,72,105,7557,2020,6.4,s2357,Movie,Elissa Down,United States,Kids,110 min,"Children & Family Movies, Comedies, Dramas","After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition."
19,The Christmas Chronicles,7276,74,98,51,143,7276,2020,7.3,s4370,Movie,Clay Kaytis,United States,Older Kids,104 min,"Children & Family Movies, Comedies","After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
