rank,title,points,counries,days,isoriginal
1,Squid Game,"57,980",90,104,YES
2,Money Heist,"44,382",91,364,YES
3,Lupin,"42,690",83,256,YES
4,Sex/Life,"34,609",82,141,YES
5,Bridgerton,"33,973",82,146,YES
6,New Amsterdam,"33,561",75,255,No
7,Lucifer,"32,230",80,212,YES
8,Who Killed Sara?,"30,363",79,88,YES
9,Yo soy Betty la fea,"29,271",17,364,No
10,Maid,"29,008",88,90,YES
11,Ginny & Georgia,"28,496",78,112,YES
12,The Good Doctor,"27,654",55,233,No
13,You,"23,940",90,87,YES
14,"Pablo Escobar, The Drug Lord","22,309",18,349,No
15,Vincenzo,"20,307",56,308,YES
16,Paw Patrol,"20,019",53,364,No
17,Sex Education,"19,667",83,98,YES
18,Riverdale,"18,915",60,226,No
19,Pasión de gavilanes,"17,714",16,308,No
20,Behind Her Eyes,"17,409",80,73,YES
21,Arcane,"16,660",89,54,YES
22,Friends,"16,539",41,359,No
23,Shadow and Bone,"16,403",82,55,YES
24,Snowpiercer,"15,699",74,98,YES
25,Sweet Tooth,"15,457",82,40,YES
26,Hometown Cha-Cha-Cha,"15,210",52,124,YES
27,CoComelon,"14,981",34,364,No
28,Firefly Lane,"14,682",77,44,YES
29,Elite,"14,208",77,75,YES
30,Outer Banks,"14,109",72,46,YES
31,The Witcher,"14,055",89,236,YES
32,The Serpent,"13,846",75,104,YES
33,Sexify,"12,865",78,50,YES
34,Fate: The Winx Saga,"12,570",82,40,YES
35,The Blacklist,"12,054",57,333,No
36,Clickbait,"12,010",80,43,YES
37,El inocente,"11,843",76,55,YES
38,Too Hot to Handle,"11,584",74,67,YES
39,Dynasty,"11,091",78,137,YES
40,Never Have I Ever,"11,035",79,48,YES
41,Virgin River,"10,939",75,62,YES
42,Jupiter's Legacy,"10,782",81,26,YES
43,Nuevo Rico Nuevo Pobre,"10,502",17,208,No
44,The Queen of Flow,"10,485",28,172,YES
45,Rick and Morty,"10,456",41,156,No
46,The Queen's Gambit,"10,317",76,198,YES
47,Hit & Run,"10,271",79,49,YES
48,The King's Affection,"10,171",55,79,YES
49,Hellbound,"9,931",90,34,YES
