,rank,title,points,counries,days,isoriginal,show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
0,2,We Can Be Heroes,"25,311",82,214,YES,s1495,Movie,Robert Rodriguez,"YaYa Gosselin, Pedro Pascal, Priyanka Chopra, Isaiah Russell-Bailey, Akira Akbar, Christian Slater, Boyd Holbrook, Adriana Barraza, Taylor Dooley, Vivien Lyra Blair, Hala Finley, Lyon Daniels, Sung Kang, Christopher McDonald, Andy Walken, Lotus Blossom, Haley Reinhart, Nathan Blair, Dylan Henry Lau, Andrew Diaz",United States,"December 25, 2020",2020,Older Kids,101 min,"Children & Family Movies, Comedies","When alien invaders capture Earth’s superheroes, their kids must learn to work together to save their parents — and the planet."
1,3,Army of the Dead,"18,888",89,92,YES,s854,Movie,Zack Snyder,"Dave Bautista, Ella Purnell, Omari Hardwick, Garret Dillahunt, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Samantha Win, Richard Cetrone, Michael Cassidy",United States,"May 21, 2021",2021,Adults,148 min,"Action & Adventure, Horror Movies","After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever."
2,4,Wish Dragon,"16,953",82,88,YES,s740,Movie,Chris Appelhans,"Jimmy Wong, John Cho, Constance Wu, Will Yun Lee, Bobby Lee, Jimmy O. Yang, Ian Chen","China, United States, Canada","June 11, 2021",2021,Older Kids,102 min,"Children & Family Movies, Comedies",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
3,6,The Mitchells vs. The Machines,"14,902",82,74,YES,s962,Movie,"Mike Rianda, Jeff Rowe","Danny McBride, Abbi Jacobson, Maya Rudolph, Mike Rianda, Eric André, Olivia Colman, Fred Armisen, Beck Bennett, John Legend, Chrissy Teigen, Blake Griffin, Conan O'Brien, Charlyne Yi",,"April 30, 2021",2021,Older Kids,114 min,"Children & Family Movies, Comedies",A robot apocalypse put the brakes on their cross-country road trip. Now it’s up to the Mitchells — the world’s weirdest family — to save the human race.
4,7,Fatherhood,"14,660",82,54,YES,s686,Movie,Paul Weitz,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Frankie Faison, Anthony Carrigan, Paul Reiser, Melody Hurd",United States,"June 18, 2021",2021,Teens,111 min,Dramas,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story."
5,12,Outside the Wire,"11,661",82,45,YES,s1406,Movie,Mikael Håfström,"Anthony Mackie, Damson Idris, Emily Beecham, Michael Kelly, Pilou Asbæk","Hungary, United States","January 15, 2021",2021,Adults,116 min,Action & Adventure,"In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack."
6,14,Kate,"11,224",83,50,YES,s82,Movie,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,"September 10, 2021",2021,Adults,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
7,15,Vivo,"11,037",79,58,YES,s301,Movie,"Kirk DeMicco, Brandon Jeffords","Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos, Brian Tyree Henry, Gloria Estefan, Michael Rooker, Nicole Byer","Canada, United States","August 6, 2021",2021,Older Kids,100 min,"Children & Family Movies, Music & Musicals",A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
8,18,He's All That,"10,222",83,35,YES,s197,Movie,Mark Waters,"Addison Rae, Tanner Buchanan, Rachael Leigh Cook, Madison Pettis, Isabella Crovetti, Matthew Lillard, Peyton Meyer, Annie Jacob, Myra Molloy, Kourtney Kardashian",,"August 27, 2021",2021,Teens,92 min,"Comedies, Romantic Movies","An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That."""
9,19,Sweet Girl,"10,051",82,32,YES,s248,Movie,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",United States,"August 20, 2021",2021,Adults,110 min,"Action & Adventure, Dramas","He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
10,20,Blood Red Sky,"9,757",82,31,YES,s397,Movie,Peter Thorwarth,"Peri Baumeister, Alexander Scheer, Kais Setti, Carl Koch, Gordon Brown, Roland Møller, Chidi Ajufo, Kai Ivo Baulitz, Graham McTavish, Dominic Purcell",,"July 23, 2021",2021,Adults,123 min,"Action & Adventure, Horror Movies, International Movies","When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son."
11,21,Major Grom: Plague Doctor,"9,642",80,98,No,s501,Movie,Oleg Trofim,"Tikhon Zhiznevskiy, Lyubov Aksyonova, Alexei Maklakov, Aleksandr Seteykin, Sergei Goroshko, Dmitriy Chebotarev, Mikhail Evlanov, Oleg Chugunov, Vitali Khayev, Anton Bogdanov, Nikita Kologrivy, Yuriy Nasonov",,"July 7, 2021",2021,Adults,138 min,"Action & Adventure, International Movies","When a masked vigilante’s killing spree throws a city into chaos, a renegade detective and his rookie partner are the only ones who can stop it."
