rank,title,points,counries,days,isoriginal
1,Red Notice,"25,918",90,48,YES
2,We Can Be Heroes,"25,311",82,214,YES
3,Army of the Dead,"18,888",89,92,YES
4,Wish Dragon,"16,953",82,88,YES
5,Army of Thieves,"15,081",90,52,YES
6,The Mitchells vs. The Machines,"14,902",82,74,YES
7,Fatherhood,"14,660",82,54,YES
8,The Unforgivable,"13,458",89,20,YES
9,The Guilty,"12,930",83,43,YES
10,Yes Day,"12,809",81,66,YES
11,Love Hard,"11,782",90,50,YES
12,Outside the Wire,"11,661",82,45,YES
13,Love and Monsters,"11,582",81,33,No
14,Kate,"11,224",83,50,YES
15,Vivo,"11,037",79,58,YES
16,Minions,"10,972",78,132,No
17,Back to the Outback,"10,555",88,20,YES
18,He's All That,"10,222",83,35,YES
19,Sweet Girl,"10,051",82,32,YES
20,Blood Red Sky,"9,757",82,31,YES
21,Major Grom: Plague Doctor,"9,642",80,98,No
22,My Little Pony: A New Generation,"9,615",81,41,YES
23,The Forgotten Battle,"9,321",83,24,YES
24,The Kissing Booth 3,"9,219",82,28,YES
25,To All the Boys: Always and Forever,"9,058",83,24,YES
26,Fast & Furious Presents: Hobbs & Shaw,"8,994",73,257,No
27,Thunder Force,"8,842",82,35,YES
28,I Care a Lot,"8,610",54,41,YES
29,The Woman in the Window,"8,547",82,33,YES
30,365 Days,"8,488",60,313,No
31,The Harder They Fall,"8,433",89,28,YES
32,Afterlife of the Party,"8,172",80,27,YES
33,The Secret Life of Pets 2,"8,161",54,322,No
34,The Last Mercenary,"8,132",82,26,YES
35,A Boy Called Christmas,"8,084",75,36,YES
36,Finding 'Ohana,"7,939",81,49,YES
37,Night Teeth,"7,824",88,22,YES
38,Fifty Shades of Grey,"7,760",75,113,No
39,Resort to Love,"7,711",79,33,YES
40,News of the World,"7,600",80,29,YES
41,Gemini Man,"7,497",53,211,No
42,Things Heard & Seen,"7,396",82,29,YES
43,Spider-Man: Homecoming,"7,338",75,130,No
44,Awake,"7,217",81,24,YES
45,Venom,"6,928",44,183,No
46,Deadly Illusions,"6,900",82,18,No
47,Below Zero,"6,828",82,31,YES
48,The White Tiger,"6,755",80,73,YES
49,SAS: Red Notice,"6,709",64,32,No
50,Fear Street: 1994,"6,653",80,31,YES
51,Spoiled Brats,"6,447",72,22,YES
52,Bruised,"6,325",86,28,YES
53,Sentinelle,"6,230",83,21,YES
54,Hotel Transylvania 3: Summer Vacation,"6,219",51,188,No
55,The Dig,"6,172",82,25,YES
56,Moxie,"6,062",81,24,YES
57,Intrusion,"6,045",83,17,YES
58,Sonic the Hedgehog,"6,015",54,202,No
59,A Castle for Christmas,"5,948",87,24,YES
60,Pieces of a Woman,"5,908",79,21,YES
61,Man on Fire,"5,724",72,20,No
62,Space Sweepers,"5,662",81,64,YES
63,Paper Lives,"5,647",62,44,YES
64,Spider-Man: Far from Home,"5,640",42,170,No
65,Secret Magic Control Agency,"5,607",77,32,YES
66,Xtreme,"5,488",82,27,YES
67,Chernobyl: Abyss,"5,405",48,58,No
68,Hypnotic,"5,392",89,18,YES
69,Beckett,"5,363",82,18,YES
70,Blackhat,"5,360",60,33,No
71,Central Intelligence,"5,344",81,18,No
72,Don't Look Up,"5,313",89,6,YES
73,The Loud House Movie,"5,299",75,40,YES
74,The Grinch,"5,247",58,209,No
75,The Last Letter from Your Lover,"5,142",69,27,YES
76,Penguins of Madagascar,"5,077",69,47,No
77,Schumacher,"5,041",67,23,YES
78,The Princess Switch 3: Romancing The Star,"5,031",89,21,YES
79,Stowaway,"4,955",61,22,YES
80,Seaspiracy,"4,916",49,44,YES
81,Death to 2020,"4,824",74,27,YES
