,rank,title,points,counries,days,isoriginal,rating,duration,new_rank
0,1,Squid Game,"57,980",90,104,YES,Adults,1 Season,A
1,3,Lupin,"42,690",83,256,YES,Adults,2 Seasons,A
2,4,Sex/Life,"34,609",82,141,YES,Adults,1 Season,A
3,5,Bridgerton,"33,973",82,146,YES,Adults,1 Season,A
4,7,Lucifer,"32,230",80,212,YES,Teens,6 Seasons,A
5,8,Who Killed Sara?,"30,363",79,88,YES,Adults,2 Seasons,A
6,11,Ginny & Georgia,"28,496",78,112,YES,Teens,1 Season,A
7,13,You,"23,940",90,87,YES,Adults,2 Seasons,A
8,15,Vincenzo,"20,307",56,308,YES,Teens,1 Season,A
9,17,Sex Education,"19,667",83,98,YES,Adults,3 Seasons,A
10,18,Riverdale,"18,915",60,226,No,Teens,4 Seasons,A
11,20,Behind Her Eyes,"17,409",80,73,YES,Adults,1 Season,A
12,22,Friends,"16,539",41,359,No,Teens,10 Seasons,A
13,23,Shadow and Bone,"16,403",82,55,YES,Teens,1 Season,A
14,24,Snowpiercer,"15,699",74,98,YES,Adults,126 min,A
15,25,Sweet Tooth,"15,457",82,40,YES,Teens,1 Season,A
16,26,Hometown Cha-Cha-Cha,"15,210",52,124,YES,Teens,1 Season,A
17,28,Firefly Lane,"14,682",77,44,YES,Adults,1 Season,A
18,29,Elite,"14,208",77,75,YES,Adults,4 Seasons,A
19,30,Outer Banks,"14,109",72,46,YES,Adults,2 Seasons,A
20,31,The Witcher,"14,055",89,236,YES,Adults,1 Season,A
21,33,Sexify,"12,865",78,50,YES,Adults,1 Season,A
22,34,Fate: The Winx Saga,"12,570",82,40,YES,Adults,1 Season,A
23,35,The Blacklist,"12,054",57,333,No,Teens,7 Seasons,A
24,36,Clickbait,"12,010",80,43,YES,Adults,1 Season,B
25,38,Too Hot to Handle,"11,584",74,67,YES,Adults,2 Seasons,B
26,39,Dynasty,"11,091",78,137,YES,Teens,3 Seasons,B
27,40,Never Have I Ever,"11,035",79,48,YES,Teens,2 Seasons,B
28,41,Virgin River,"10,939",75,62,YES,Teens,3 Seasons,B
29,42,Jupiter's Legacy,"10,782",81,26,YES,Adults,1 Season,B
30,44,The Queen of Flow,"10,485",28,172,YES,Adults,1 Season,B
31,46,The Queen's Gambit,"10,317",76,198,YES,Adults,1 Season,B
32,47,Hit & Run,"10,271",79,49,YES,Adults,1 Season,B
33,51,Narcos: Mexico,"9,134",81,47,YES,Adults,2 Seasons,B
34,52,The Irregulars,"8,959",82,35,YES,Teens,1 Season,B
35,54,Lost in Space,"8,837",87,29,YES,Older Kids,2 Seasons,B
36,55,Cobra Kai,"8,830",77,59,YES,Teens,3 Seasons,B
37,56,Good Girls,"8,542",72,71,YES,Adults,3 Seasons,B
38,60,The Snitch Cartel: Origins,"7,815",16,86,YES,Adults,1 Season,B
39,62,The Circle,"7,708",55,74,YES,Adults,3 Seasons,B
40,63,Locke & Key,"7,584",84,45,YES,Teens,1 Season,B
41,65,Ragnarok,"7,540",79,42,YES,Adults,2 Seasons,B
42,68,Hospital Playlist,"7,105",16,227,YES,Teens,2 Seasons,B
43,69,The Cook of Castamar,"7,006",66,133,YES,Adults,1 Season,B
44,70,The Cook of Castamar,"7,006",66,133,YES,Adults,1 Season,B
45,71,Demon Slayer: Kimetsu no Yaiba,"6,866",63,259,No,Teens,1 Season,B
46,72,The One,"6,824",71,36,YES,Adults,1 Season,C
47,73,Emily in Paris,"6,735",90,25,YES,Adults,1 Season,C
48,74,Sky Rojo,"6,472",61,78,YES,Adults,2 Seasons,C
49,75,Alice in Borderland,"6,458",70,62,YES,Adults,1 Season,C
50,76,Crime Scene: The Vanishing at the Cecil Hotel,"6,240",79,21,YES,Adults,1 Season,C
51,77,StartUp,"5,978",62,59,No,Adults,3 Seasons,C
52,78,Turning Point: 9/11 and the War on Terror,"5,915",70,25,YES,Teens,1 Season,C
53,80,Formula 1: Drive to Survive,"5,818",70,49,YES,Adults,3 Seasons,C
54,82,Chilling Adventures of Sabrina,"5,664",76,21,YES,Teens,4 Seasons,C
55,84,The Crown,"5,607",53,145,YES,Adults,4 Seasons,C
56,86,AlRawabi School for Girls,"5,259",36,62,YES,Teens,1 Season,C
57,88,Gabby's Dollhouse,"5,208",53,202,YES,Kids,2 Seasons,C
58,93,Midnight Mass,"4,860",79,31,YES,Adults,1 Season,C
59,94,The 100,"4,783",49,177,No,Adults,7 Seasons,C
60,95,"Love, Death & Robots","4,588",81,57,YES,Adults,2 Seasons,C
61,96,Tribes of Europa,"4,546",80,24,YES,Adults,1 Season,C
62,97,The Uncanny Counter,"4,300",21,82,No,Teens,1 Season,C
63,99,Attack on Titan,"3,997",11,141,No,Adults,1 Season,C
64,100,Selling Sunset,"3,919",58,29,YES,Adults,3 Seasons,C
65,101,Age of Samurai: Battle for Japan,"3,850",81,16,YES,Adults,1 Season,C
66,102,Atypical,"3,813",71,25,YES,Teens,4 Seasons,C
67,103,Mine,"3,732",26,94,No,Teens,1 Season,C
68,104,Record of Ragnarok,"3,707",76,25,YES,Adults,1 Season,C
69,106,Law School,"3,532",16,74,YES,Teens,1 Season,C
70,109,The Seven Deadly Sins,"3,451",69,109,YES,Teens,5 Seasons,D
71,110,Katla,"3,448",66,47,YES,Adults,1 Season,D
72,111,Disenchantment,"3,383",64,28,YES,Teens,3 Seasons,D
73,112,Resurrection: Ertugrul,"3,187",8,311,No,Teens,5 Seasons,D
74,115,Miraculous: Tales of Ladybug & Cat Noir,"2,961",38,144,No,Older Kids,5 Seasons,D
75,116,Bling Empire,"2,955",53,36,YES,Adults,1 Season,D
76,117,Valeria,"2,953",43,45,YES,Adults,2 Seasons,D
77,118,Control Z,"2,948",35,30,YES,Adults,2 Seasons,D
78,120,How to Become a Tyrant,"2,866",55,44,YES,Adults,1 Season,D
79,121,S.W.A.T.,"2,814",15,63,No,Teens,117 min,D
80,122,Top Secret UFO Projects: Declassified,"2,779",66,23,YES,Older Kids,1 Season,D
81,123,The Chair,"2,759",61,19,YES,Adults,1 Season,D
82,126,The Walking Dead,"2,624",49,97,No,Adults,10 Seasons,D
83,127,Spycraft,"2,580",52,21,YES,Adults,1 Season,D
84,128,Too Hot to Handle: Brazil,"2,571",42,33,YES,Adults,1 Season,D
